Afghanistan, Kabul
Albaia, Tirana
Algeria, Algiers
Andorra, Andorra La Vella
Angola, Luanda
Antigua & Barbuda, Saint Johns
Argentina, Buenos Aires
Armenia, Yerevan
Australia, Canberra
Austria, Vienna
Azerbaijan, Baku
Bahamas, Nassau
Bahrain, Manama
Bangladesh, Bridgetown
Belarus, Minsk
Belgium, Brussels
Belize, Belmopan
Benin, Porto-Novo
Bhutan, Thimphu
Bolivia, Sucre
Bosnia & Herzegovina, Sarajevo
Botswana, Gaborone
Brazil, Brasilia
Brunei, Bandar Seri Begawan
Bulgaria, Sofia
Burkina Faso, Quagadougou
Burundi, Bujumbura
Cabo Verde, Praia
Cambodia, Phnom Penh
Cameroon, Yaounde
Canada, Ottawa
Central African Republic, Bangui
Chad, N'Djamena
Chile, Santiago
China, Beijing
Colombia, Bogota
Comoros, Moroni                                                     
